Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;PF;24;NYK;9;2;20.;02.;04.;0.488;0;0.3;0;02.;04.;0.525;0.488;0.6;01.;0.385;02.;01.;04.;0.6;0.4;01.;0.4;02.;05.
2;Bam Adebayo;C;26;MIA;5;5;38.4;09.;19.;0.495;0.4;2;0.2;09.;17.;0.529;0.505;3;04.;0.714;02.;07.;09.;03.;0.4;0;01.;3;22.
3;Nickeil Alexander-Walker;SG;25;MIN;16;1;23.;02.;7;0.366;01.;05.;0.296;01.;01.;0.548;0.473;0.6;0.6;1;0.3;01.;01.;02.;0.6;0.4;0.9;01.;07.
4;Grayson Allen;SG;28;PHO;2;2;21.;0.5;02.;0.2;0.5;02.;0.2;0;0;0;0.3;2;2;1;1;3;4;1;0.5;0;01.;2;03.
5;Jarrett Allen;C;25;CLE;4;4;31.;06.;09.;0.676;0;0;0;06.;09.;0.676;0.676;04.;06.;0.692;03.;10;13.;01.;01.;1;01.;2;17
6;Jose Alvarado;PG;25;NOP;4;0;15.;0.8;5;0.15;0.3;03.;0.071;0.5;01.;0.333;0.175;0;0;0;0;1;1;02.;01.;0.3;1;0.8;01.
7;Kyle Anderson;PF;30;MIN;15;1;15.;01.;03.;0.456;0.1;0.5;0.25;01.;03.;0.49;0.474;0.7;0.8;0.833;01.;01.;02.;02.;0.7;0.3;0.7;01.;04.
8;Thanasis Antetokounmpo;PF;31;MIL;2;0;02.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0.5;0
9;Cole Anthony;PG;23;ORL;7;0;14.;01.;05.;0.317;0.3;01.;0.154;01.;4;0.393;0.341;01.;01.;0.889;0.3;01.;02.;01.;0.6;0.1;0.7;02.;05.
10;OG Anunoby;SF;26;NYK;9;9;36;06.;12.;0.505;01.;04.;0.41;04.;8;0.556;0.577;0.9;01.;0.615;0.8;05.;6;01.;0.9;1;01.;01.;15.
11;Paolo Banchero;PF;21;ORL;7;7;37.4;09.;21.;0.456;02.;05.;0.4;07.;15.;0.477;0.51;05.;7;0.755;2;06.;08.;4;01.;0.6;04.;2;27
12;Nicolas Batum;PF;35;PHI;6;0;28.;2;04.;0.414;01.;03.;0.409;0.5;01.;0.429;0.569;0.8;01.;0.625;01.;04.;05.;01.;0.2;0.8;0.8;02.;06.
13;Bradley Beal;SG;30;PHO;4;4;38.5;06.;14.;0.441;02.;05.;0.435;4;9;0.444;0.525;1;01.;0.8;01.;01.;02.;04.;0.8;0.3;03.;03.;16.
14;Malik Beasley;SG;27;MIL;6;2;21.;03.;06.;0.512;01.;04.;0.44;01.;02.;0.625;0.646;0;0;0;0.2;02.;02.;0.7;0.7;0;0.5;01.;08.
15;MarJon Beauchamp;SF;23;MIL;4;0;02.;0.3;1;0.25;0;0.5;0;0.3;0.5;0.5;0.25;0.3;0.5;0.5;0;0.3;0.3;0.5;0;0;0.3;0.3;0.8
16;Patrick Beverley;PG;35;MIL;6;6;35;02.;06.;0.41;0.7;01.;0.364;2;04.;0.429;0.462;02.;02.;0.867;0.7;02.;03.;05.;1;0.7;1;02.;08.
17;Goga Bitadze;C;24;ORL;2;0;5;0;1;0;0;0;0;0;1;0;0;0;0;0;0.5;1;01.;1;0;0;0.5;0;0
18;Anthony Black;PG;20;ORL;2;0;05.;01.;03.;0.429;0;1;0;01.;02.;0.6;0.429;0;0;0;0.5;0.5;1;1;0.5;0;0.5;0.5;3
19;Bojan Bogdanovi?;SF;34;NYK;4;0;12.;01.;6;0.292;01.;03.;0.4;0.3;02.;0.111;0.417;1;01.;0.571;0.3;02.;3;1;0;0.3;0.3;0.8;6
20;Bol Bol;PF;24;PHO;3;0;04.;0.3;1;0.333;0;0;0;0.3;1;0.333;0.333;0;0;0;0;01.;01.;0;0.3;0;0;0.7;0.7
21;Devin Booker;PG;27;PHO;4;4;41.5;8;16.;0.492;01.;5;0.35;06.;11.;0.556;0.546;09.;10.;0.951;0.3;3;03.;6;01.;0.3;02.;04.;27.
22;Brandon Boston Jr.;SF;22;LAC;3;0;03.;0.7;01.;0.5;0;0;0;0.7;01.;0.5;0.5;0.3;0.7;0.5;0.3;0.3;0.7;0.3;0;0;0;0.7;01.
23;Christian Braun;SG;22;DEN;12;0;17;01.;04.;0.426;0.3;01.;0.222;01.;3;0.528;0.463;0.9;01.;0.688;0.8;01.;02.;0.8;0.2;0.4;0.1;01.;05.
24;Oshae Brissett;SF;25;BOS;10;0;05.;0.6;01.;0.545;0.2;0.2;1;0.4;0.9;0.444;0.636;0.2;0.4;0.5;0.3;01.;01.;0;0.3;0.2;0.1;0.2;01.
25;Jaylen Brown;SF;27;BOS;19;19;37.2;09.;17.;0.516;01.;05.;0.327;07.;12.;0.607;0.569;03.;05.;0.66;01.;04.;05.;03.;01.;0.6;02.;02.;23.
26;Kendall Brown;SG;20;IND;7;0;03.;0.3;0.9;0.333;0;0;0;0.3;0.9;0.333;0.333;0;0;0;0;0.4;0.4;0.3;0;0.1;0.4;0.3;0.6
27;Kobe Brown;PF;24;LAC;3;0;03.;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0.3;0.7;0;0;0;0;0.3;0
28;Jalen Brunson;PG;27;NYK;13;13;39.8;11.;26.;0.444;2;06.;0.31;09.;19.;0.488;0.482;07.;09.;0.775;0.6;02.;03.;07.;0.8;0.2;02.;2;32.4
29;Thomas Bryant;C;26;MIA;2;0;9;02.;03.;0.714;0;1;0;02.;02.;1;0.714;1;01.;0.667;1;01.;02.;0.5;0;0;1;0.5;6
30;Alec Burks;SG;32;NYK;6;0;20.;04.;08.;0.5;2;04.;0.429;02.;03.;0.591;0.62;04.;05.;0.844;0.7;02.;03.;1;0.2;0.2;0;1;14.
31;Kentavious Caldwell-Pope;SG;30;DEN;12;12;35;02.;07.;0.395;01.;04.;0.327;01.;02.;0.516;0.5;0.9;0.9;1;0.4;02.;02.;02.;01.;0.4;0.8;03.;08.
32;Wendell Carter Jr.;C;24;ORL;7;5;26.;02.;06.;0.404;1;03.;0.28;01.;03.;0.545;0.479;01.;01.;0.727;01.;5;06.;01.;0.7;0.6;0.7;02.;07.
33;Amir Coffey;SF;26;LAC;6;3;18.;01.;03.;0.318;0.5;01.;0.273;0.7;01.;0.364;0.386;0;0;0;0.3;01.;01.;0.3;0.3;0.2;0.8;1;02.
34;Mike Conley;PG;36;MIN;15;15;31.6;04.;09.;0.428;2;05.;0.395;02.;04.;0.464;0.531;01.;01.;0.714;0.7;03.;03.;05.;01.;0.2;01.;02.;11.
35;Pat Connaughton;SF;31;MIL;6;0;20.;01.;04.;0.44;0.5;01.;0.273;01.;02.;0.571;0.5;0.3;0.3;1;0.5;03.;03.;02.;1;0.2;0.5;1;04.
36;Jae Crowder;PF;33;MIL;4;0;10.;0.8;3;0.25;0.3;01.;0.143;0.5;01.;0.4;0.292;0.5;0.5;1;0.5;1;01.;0.5;0;0.5;0;1;02.
37;Dyson Daniels;PG;20;NOP;3;0;05.;0.7;2;0.333;0;0.7;0;0.7;01.;0.5;0.333;0;0;0;0;0.7;0.7;0;0.7;0;0.3;0;01.
38;Anthony Davis;C;30;LAL;5;5;41.6;11.;18.;0.634;0;1;0;11.;17.;0.67;0.634;04.;05.;0.808;3;12.;15.;4;0.4;01.;02.;03.;27.
39;Mamadi Diakite;PF;27;NYK;4;0;03.;0;0.8;0;0;0.5;0;0;0.3;0;0;0.5;0.5;1;0;0.8;0.8;0.3;0.3;0.3;0.3;0.8;0.5
40;Ousmane Dieng;PF;20;OKC;4;0;01.;0.3;0.5;0.5;0;0.3;0;0.3;0.3;1;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5
41;Spencer Dinwiddie;PG;30;LAL;5;0;14.;1;02.;0.357;0.4;01.;0.25;0.6;01.;0.5;0.429;0.6;01.;0.5;0.2;01.;01.;01.;0.4;0.2;0.2;01.;3
42;Donte DiVincenzo;SG;27;NYK;13;13;35.8;06.;14.;0.419;03.;08.;0.425;02.;06.;0.412;0.537;2;02.;0.867;1;3;4;02.;01.;0.9;01.;02.;17.
43;Luka Don?i?;PG;24;DAL;22;22;40.9;10.;22.;0.446;03.;09.;0.322;07.;13.;0.536;0.514;05.;7;0.765;0.7;08.;09.;08.;01.;0.4;04.;02.;28.
44;Luguentz Dort;SF;24;OKC;10;10;35;03.;09.;0.363;02.;06.;0.391;0.8;02.;0.296;0.5;01.;01.;0.842;01.;02.;04.;2;01.;0.2;01.;04.;10.
45;Kevin Durant;PF;35;PHO;4;4;42;09.;16.;0.552;01.;3;0.417;8;13.;0.582;0.59;7;08.;0.824;0.3;06.;06.;03.;0.5;01.;02.;2;26.
46;Anthony Edwards;SG;22;MIN;16;16;40.6;09.;20.;0.481;02.;07.;0.4;06.;13.;0.526;0.552;05.;06.;0.814;01.;05.;7;06.;01.;0.6;03.;02.;27.
47;Joel Embiid;C;29;PHI;6;6;41.3;09.;22.;0.444;02.;06.;0.333;07.;15.;0.489;0.492;11.;13;0.859;03.;07.;10.;05.;01.;01.;04.;03.;33
48;Drew Eubanks;C;26;PHO;3;0;12.;02.;4;0.583;0;0;0;02.;4;0.583;0.583;1;1;1;0;01.;01.;0;0.7;0.3;0.7;2;05.
49;Dante Exum;PG;28;DAL;21;0;06.;0.8;02.;0.364;0.3;1;0.35;0.4;01.;0.375;0.443;0.2;0.3;0.667;0.1;0.7;0.8;0.6;0.1;0;0.2;0.4;2
50;Markelle Fultz;PG;25;ORL;7;0;15.;02.;04.;0.588;0;0.1;0;02.;04.;0.606;0.588;0.7;01.;0.556;1;1;2;01.;0.4;0;01.;01.;06.
51;Daniel Gafford;PF;25;DAL;22;22;20.;03.;05.;0.634;0;0;0;03.;05.;0.634;0.634;01.;3;0.631;01.;03.;05.;0.7;0.3;01.;0.9;01.;9
52;Danilo Gallinari;SF;35;MIL;3;0;12.;01.;02.;0.5;0;0.7;0;01.;2;0.667;0.5;1;01.;0.75;0.3;02.;3;0.7;0;0;0.3;0;03.
53;Darius Garland;PG;24;CLE;12;12;36;06.;14.;0.427;02.;05.;0.352;4;08.;0.48;0.5;01.;01.;0.81;0.1;03.;03.;05.;01.;0.2;02.;02.;15.
54;Luka Garza;C;25;MIN;7;0;03.;01.;01.;0.833;0.3;0.4;0.667;01.;01.;0.889;0.917;1;01.;0.875;0.3;0.6;0.9;0.1;0;0;0;0;04.
55;Paul George;PF;33;LAC;6;6;37;06.;15.;0.411;3;08.;0.367;03.;07.;0.457;0.505;03.;04.;0.84;0.5;06.;06.;04.;01.;0.5;02.;03.;19.
56;Josh Giddey;SG;21;OKC;10;8;18.;03.;07.;0.453;01.;03.;0.353;02.;04.;0.537;0.533;0.7;0.8;0.875;0.7;02.;03.;02.;0.2;0.4;01.;0.9;08.
57;Shai Gilgeous-Alexander;PG;25;OKC;10;10;39.9;11.;22.;0.496;01.;03.;0.432;09.;18.;0.508;0.531;06.;08.;0.79;0.8;06.;07.;06.;01.;01.;02.;03.;30.2
58;Rudy Gobert;C;31;MIN;15;15;34.1;04.;06.;0.615;0;0;0;04.;06.;0.615;0.615;03.;05.;0.671;02.;07.;09.;01.;0.9;1;01.;03.;12.
59;Aaron Gordon;PF;28;DEN;12;12;37.1;05.;09.;0.585;0.9;02.;0.407;04.;07.;0.637;0.631;01.;02.;0.821;3;04.;07.;04.;0.8;0.6;01.;02.;14.
60;Eric Gordon;SG;35;PHO;4;0;29.;02.;7;0.321;01.;04.;0.412;0.5;02.;0.182;0.446;01.;2;0.875;0.3;01.;01.;01.;01.;0.5;1;01.;8
61;A.J. Green;SG;24;MIL;6;0;11.;1;02.;0.375;0.3;01.;0.182;0.7;0.8;0.8;0.438;0.5;0.5;1;0;01.;01.;0.3;0;0;0.2;01.;02.
62;Josh Green;SG;23;DAL;22;0;18.;01.;03.;0.424;1;02.;0.39;0.6;01.;0.5;0.559;0.6;0.9;0.737;1;01.;02.;1;0.8;0.1;0.3;01.;5
63;Rui Hachimura;PF;25;LAL;5;5;30.;3;07.;0.395;1;02.;0.357;2;04.;0.417;0.461;0.8;01.;0.5;01.;02.;03.;0.8;0;0;0.4;01.;07.
64;Tyrese Haliburton;PG;23;IND;15;15;34.8;7;14.;0.488;03.;09.;0.379;03.;5;0.693;0.612;01.;01.;0.85;0.8;4;04.;08.;01.;0.7;02.;0.9;18.
65;Tim Hardaway Jr.;SF;31;DAL;14;0;12.;01.;04.;0.379;0.9;02.;0.351;0.6;01.;0.429;0.491;0.3;0.6;0.5;0.1;01.;01.;0.4;0.4;0.1;0.1;0.7;04.
66;James Harden;PG;34;LAC;6;6;40.3;06.;14.;0.449;3;07.;0.383;03.;7;0.524;0.551;04.;05.;0.906;0.5;4;04.;8;1;1;02.;02.;21.
67;Jaden Hardy;SG;21;DAL;19;0;06.;01.;03.;0.426;0.6;01.;0.407;0.9;02.;0.439;0.507;0.6;0.8;0.733;0.1;0.7;0.8;0.9;0.2;0;0.4;0.7;04.
68;Gary Harris;SG;29;ORL;6;6;26.;01.;04.;0.286;01.;03.;0.318;0.2;1;0.167;0.411;0.3;0.3;1;0.8;01.;2;0.7;01.;0.5;0.3;3;04.
69;Tobias Harris;PF;31;PHI;6;6;36.3;03.;08.;0.431;1;3;0.333;02.;05.;0.485;0.49;0.7;0.7;1;01.;05.;07.;01.;0.2;0.5;0.5;01.;9
70;Josh Hart;SF;28;NYK;13;13;42.2;05.;11.;0.44;01.;04.;0.373;03.;7;0.484;0.513;02.;03.;0.729;02.;08.;11.;04.;1;0.8;02.;03.;14.
71;Isaiah Hartenstein;C;25;NYK;13;13;29.;03.;05.;0.592;0.1;0.2;0.5;03.;05.;0.595;0.599;01.;01.;0.864;03.;04.;07.;03.;0.3;0.9;01.;03.;08.
72;Sam Hauser;SF;26;BOS;19;0;14.;01.;04.;0.429;01.;03.;0.38;0.5;0.7;0.692;0.589;0.2;0.2;1;0.4;01.;02.;0.6;0.3;0.2;0.2;01.;05.
73;Jordan Hawkins;SG;21;NOP;3;0;4;0;01.;0;0;1;0;0;0.3;0;0;0;0;0;0;0.7;0.7;0;0;0;0;0.3;0
74;Jaxson Hayes;C;23;LAL;4;0;6;0;0.5;0;0;0;0;0;0.5;0;0;0.3;0.5;0.5;0.8;02.;3;0.3;0;0;0.5;01.;0.3
75;Gordon Hayward;SF;33;OKC;7;0;06.;0;0.4;0;0;0;0;0;0.4;0;0;0;0;0;0.1;01.;01.;0.4;0.1;0.1;0;0.3;0
76;Tyler Herro;SG;24;MIA;5;5;37;6;15.;0.385;3;08.;0.349;3;7;0.429;0.481;01.;2;0.9;0;03.;03.;05.;0.4;0;02.;2;16.
77;Buddy Hield;SG;31;PHI;4;0;12.;01.;04.;0.412;01.;03.;0.462;0.3;1;0.25;0.588;0.5;0.5;1;0.5;0.8;01.;0.5;0;0.3;0.5;1;05.
78;Haywood Highsmith;PF;27;MIA;5;0;25.;2;05.;0.357;0.6;03.;0.188;01.;02.;0.583;0.411;0.2;0.2;1;0.4;02.;02.;01.;0.2;0.2;0.8;02.;04.
79;Jrue Holiday;PG;33;BOS;19;19;37.9;05.;10.;0.503;01.;04.;0.402;03.;05.;0.585;0.593;01.;01.;0.955;01.;04.;06.;04.;01.;0.6;01.;02.;13.
80;Justin Holiday;SG;34;DEN;12;0;12.;0.9;02.;0.314;0.9;02.;0.379;0;0.5;0;0.471;0.2;0.3;0.5;0.1;01.;01.;0.3;0.5;0;0.3;01.;02.
81;Chet Holmgren;C;21;OKC;10;10;34.5;05.;11.;0.496;01.;5;0.26;04.;06.;0.667;0.55;02.;03.;0.758;01.;05.;07.;02.;0.7;02.;01.;02.;15.
82;Al Horford;C;37;BOS;19;15;30.;03.;07.;0.478;01.;5;0.368;01.;02.;0.721;0.605;0.4;0.6;0.636;01.;05.;7;02.;0.8;0.8;0.6;01.;09.
83;Caleb Houstan;SF;21;ORL;3;0;04.;0.3;0.7;0.5;0.3;0.7;0.5;0;0;0;0.75;0;0;0;0.3;0.3;0.7;0;0;0;0;0;1
84;Jett Howard;SF;20;ORL;2;0;5;1;01.;0.667;0.5;0.5;1;0.5;1;0.5;0.833;0;0;0;0;0.5;0.5;0.5;0;0;1;0.5;02.
85;Bones Hyland;PG;23;LAC;3;0;4;1;02.;0.429;0.3;01.;0.2;0.7;0.7;1;0.5;01.;01.;1;0;0.7;0.7;01.;0;0;0.3;0;03.
86;Joe Ingles;SF;36;ORL;7;0;09.;0.6;01.;0.333;0.3;1;0.286;0.3;0.7;0.4;0.417;0.1;0.3;0.5;0.3;01.;01.;01.;0.4;0;0;0.4;01.
87;Brandon Ingram;SF;26;NOP;4;4;36.3;04.;13.;0.345;0.5;2;0.25;04.;11.;0.362;0.364;04.;04.;0.895;0.3;04.;04.;03.;1;01.;02.;2;14.
88;Kyrie Irving;SG;31;DAL;22;22;40;08.;18.;0.467;02.;06.;0.39;6;11.;0.508;0.534;02.;03.;0.849;1;02.;03.;05.;1;0.3;02.;02.;22.
89;Jonathan Isaac;PF;26;ORL;7;3;21;02.;05.;0.41;01.;03.;0.37;0.9;01.;0.5;0.538;0.3;0.3;1;01.;03.;04.;0.4;0.7;01.;0.6;1;06.
90;Andre Jackson Jr.;SG;22;MIL;5;0;12;1;02.;0.455;0.4;01.;0.333;0.6;1;0.6;0.545;0;0;0;1;01.;02.;2;1;0.2;0.6;2;02.
91;Isaiah Jackson;C;22;IND;15;0;10.;01.;02.;0.535;0;0;0;01.;02.;0.535;0.535;0.7;01.;0.611;01.;01.;03.;0.5;0.2;0.9;0.3;01.;03.
92;Reggie Jackson;PG;33;DEN;12;0;09.;01.;4;0.333;0.7;01.;0.348;0.7;02.;0.32;0.417;0.2;0.2;1;0.2;01.;01.;1;0.2;0.1;0.7;1;03.
93;LeBron James;PF;39;LAL;5;5;40.8;11.;19.;0.566;2;05.;0.385;09.;14.;0.63;0.616;03.;04.;0.739;0.8;6;06.;08.;02.;1;03.;02.;27.
94;Jaime Jaquez Jr.;SF;22;MIA;4;4;30.;05.;13;0.404;0.8;03.;0.231;04.;09.;0.462;0.433;01.;01.;0.857;0.5;02.;03.;3;0.8;0.5;01.;01.;12.
95;DaQuan Jeffries;SG;26;NYK;4;0;5;0.8;2;0.375;0.5;01.;0.4;0.3;0.8;0.333;0.5;0;0;0;0.3;0.8;1;0;0.3;0;0;0.5;2
96;Isaiah Joe;SG;24;OKC;10;2;17.;02.;05.;0.444;01.;03.;0.41;0.8;01.;0.533;0.593;0;0;0;0.4;01.;02.;1;0.5;0;0.5;1;06.
97;James Johnson;PF;36;IND;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0.5;0;0;0;0;0;0;1;0;1
98;Nikola Joki?;C;28;DEN;12;12;40.2;11.;20.;0.545;01.;04.;0.264;09.;15.;0.623;0.574;05.;05.;0.901;03.;09.;13.;08.;01.;0.7;03.;02.;28.
99;Damian Jones;C;28;CLE;2;0;04.;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;1;1;0;0.5;1;0;0
100;Derrick Jones Jr.;SF;26;DAL;22;22;29.;03.;07.;0.481;01.;3;0.369;02.;04.;0.558;0.556;1;01.;0.733;01.;2;03.;01.;0.5;1;0.8;02.;09.
101;Herbert Jones;SF;25;NOP;4;4;35.3;4;10.;0.39;2;6;0.333;2;04.;0.471;0.488;3;3;1;01.;03.;5;02.;01.;0.3;02.;03.;13
102;DeAndre Jordan;C;35;DEN;2;0;06.;0.5;1;0.5;0;0;0;0.5;1;0.5;0.5;1;1;1;0.5;1;01.;0;0.5;0.5;0;2;2
103;Nikola Jovi?;PF;20;MIA;5;5;25.;03.;07.;0.444;01.;04.;0.409;01.;02.;0.5;0.569;01.;01.;0.857;0.4;06.;06.;02.;1;0.6;01.;01.;09.
104;Maxi Kleber;C;32;DAL;13;0;16.;01.;3;0.41;0.9;02.;0.429;0.3;0.8;0.364;0.564;0.3;0.5;0.667;0.3;01.;01.;1;0.2;0.3;0.4;01.;03.
105;Luke Kornet;C;28;BOS;13;0;10.;01.;01.;0.667;0;0;0;01.;01.;0.667;0.667;0.8;1;0.846;01.;01.;03.;0.5;0.1;0.4;0.5;0.8;3
